job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
客户端开发工程师（2021届）,年薪8-14w,武汉,应届,C++,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
集团管理培训生| 菁英计划,年薪8-12w,上海,应届,管理培训生,2人,昨天发布,如家酒店连锁（中国）有限公司,国内上市公司,10000人以上,旅游/酒店/餐饮服务/生活服务
培训项目运营实习生,120元/月,广州-天河区,实习5天/周,实习生,5人,昨天发布,正略集团,私营·民营企业,500-999人,专业服务(咨询/财会/法律/翻译等)
销售代表,年薪5-7w,南京,应届,销售代表,3人,昨天发布,东华能源,国内上市公司,1000-2000人,石油/石化/化工
建筑类设计实习生,5000元/月,广州-白云区,实习5天/周,建筑设计师,10人,昨天发布,广州广空设计咨询有限公司,私营·民营企业,50-99人,规划/设计/装潢
人力资源专员（2021届）,年薪7-11w,广州,应届,人力资源专员/助理,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
管培生（化工）,年薪4-6w,杭州-江干区,应届,化工技术应用/化工工程师,不限,昨天发布,浙江东开半导体科技有限公司,私营·民营企业,1-49人,电子技术/半导体/集成电路
日本机场地勤   日语翻译,年薪18-24w,上海,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
管理培训生,年薪5-6w,中山,应届,储备干部,5人,昨天发布,维布络日用品(广东)有限公司,外商独资·外企办事处,1000-2000人,食品/饮料/烟酒/日化
Java开发工程师,年薪12-18w,郑州,应届,Java,15人,昨天发布,河南校信通教育科技有限公司,私营·民营企业,100-499人,互联网/移动互联网/电子商务
贝壳实习生（无责6000+包住）,300元/日,深圳-南山区,实习5天/周,房地产销售人员,8人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
财务助理,年薪4-6w,常州-天宁区,应届,财务助理,1人,昨天发布,如家酒店连锁（中国）有限公司,国内上市公司,10000人以上,旅游/酒店/餐饮服务/生活服务
运维工程师（2021届）,年薪6-12w,福州,应届,运维工程师,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
伊利2021年校招-销售培训生（液态奶）,年薪8-18w,汕头,应届,其他培训生/储备干部,17人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
校园大使,100元/日,长沙,实习1天/周,其他人力资源,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
java开发工程师(校招),年薪14-28w,上海,应届,Java,50人,昨天发布,万得,私营·民营企业,2000-5000人,互联网/移动互联网/电子商务
激光/光电子技术,年薪7-10w,上海-浦东新区,应届,激光/光电子技术,1人,昨天发布,上海索广映像有限公司,中外合营(合资·合作),2000-5000人,电子技术/半导体/集成电路
营销管培生,年薪8-11w,广州-黄埔区,应届,储备干部,15人,昨天发布,环亚化妆品（滋源/美肤宝/法兰琳卡）,外商独资·外企办事处,1000-2000人,食品/饮料/烟酒/日化
技术类（机械，工艺等）,年薪6-10w,四川,应届,其他生产/制造/研发职位,20人,昨天发布,富临精工,国内上市公司,1000-2000人,汽车/摩托车
招聘专员/助理,90元/日,广州,实习4天/周,招聘专员/助理,1人,昨天发布,广东因赛品牌营销集团股份有限公司,国内上市公司,100-499人,广告/公关/市场推广/会展
人事助理,年薪4-8w,北京-东城区,应届,人力资源专员/助理,3人,昨天发布,中国通广投资有限公司,私营·民营企业,1-49人,基金/证券/期货/投资
服务端开发工程师（2021届）,年薪7-14w,成都,应届,Java,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
视频设计师（2021届）,年薪8-17w,深圳,应届,视频编辑,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
汽车维修实习生（工作地点：江浙沪皖）,120元/日,徐州,实习5天/周,汽车维修/保养,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
黑龙江分公司-研发工程师岗（信息技术类）,面议,哈尔滨,应届,信息技术专员,不限,昨天发布,华夏人寿保险股份有限公司,其他,10000人以上,保险
【2021校园招聘】技术岗,年薪6-11w,株洲,应届,储备干部,20人,昨天发布,株洲齿轮有限责任公司,国有企业,500-999人,汽车/摩托车
汽车销售顾问实习生（工作地点：江浙沪皖）,150元/日,台州,实习5天/周,汽车销售,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
招聘助理,150元/日,深圳-龙岗区,实习5天/周,招聘专员/助理,4人,昨天发布,深圳开思时代科技有限公司,私营·民营企业,1000-2000人,互联网/移动互联网/电子商务
海外业务软件开发工程师,年薪8-10w,上海-徐汇区,应届,Java,不限,昨天发布,上海海隆软件有限公司,私营·民营企业,2000-5000人,计算机软件
日本北海道高尔夫日语翻译,年薪14-18w,成都,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
财富顾问（管培生，营销理财方向）,年薪6-10w,清远,应届,其他基金/证券/期货/投资,不限,昨天发布,国信证券佛山禅城分公司,国有企业,5000-10000人,证券
日本机场地勤   日语翻译,年薪18-24w,成都,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
秘书/文员,年薪10-14w,阳江,应届,秘书/文员,5人,昨天发布,江苏太平洋建设有限公司,私营·民营企业,10000人以上,建筑
2021届营销管培生（合景浙江区域）,年薪12-18w,杭州-西湖区,应届,管理培训生,不限,昨天发布,杭州弘利房地产开发有限公司,国内上市公司,100-499人,房地产服务(物业管理/地产经纪)
汽车维修实习生（工作地点：江浙沪皖）,120元/日,杭州,实习5天/周,汽车维修/保养,不限,昨天发布,宝能汽车销售有限公司,私营·民营企业,10000人以上,汽车交易
摄像实习生,100元/日,上海,实习3天/周,摄影/摄像,1人,昨天发布,珠海艾特营销策划有限公司,私营·民营企业,50-99人,专业服务(咨询/财会/法律/翻译等)
人力资源实习生,2000元/日,深圳-南山区,实习4天/周,培训专员/助理,3人,昨天发布,金蝶,外商独资·外企办事处,5000-10000人,互联网/移动互联网/电子商务
海外销售管理储备,年薪12-18w,非洲,应届,销售代表,5人,昨天发布,广东新南方集团有限公司,私营·民营企业,2000-5000人,医疗/保健/美容/卫生服务
应届生/销售管培生/8000/提供住宿,年薪10-13w,深圳,应届,其他培训生/储备干部,6人,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
英语老师,年薪1-2w,苏州-昆山,应届,外语教师,1人,昨天发布,苏州朗阁外语培训中心,政府机关／非盈利机构,100-499人,教育/培训/学术/科研/院校
项目专员/助理,年薪4-5w,重庆,应届,项目专员/助理,1人,昨天发布,长安徕斯 (重庆)机器人智能装备有限公司,中外合营(合资·合作),100-499人,仪器/仪表/工业自动化/电气
融资管理岗（2021届校招）,年薪5-12w,成都,应届,融资专员/助理,2人,昨天发布,四川锦程消费金融有限责任公司,中外合营(合资·合作),100-499人,信托/担保/拍卖/典当
医疗器械研发,年薪15-24w,上海,应届,医疗器械研发,2人,昨天发布,恒瑞医药-苏州恒瑞医疗器械有限公司,私营·民营企业,100-499人,医疗设备/器械
电商客服,年薪4-6w,南昌-红谷滩区,应届,网络/在线客服,8人,昨天发布,江西美翻科技有限公司,中外合营(合资·合作),50-99人,互联网/移动互联网/电子商务
区域销售经理,年薪7-10w,苏州,应届,市场专员/助理,30人,昨天发布,徐工环境,国有企业,500-999人,机械制造/机电/重工
成本实习生,年薪4-5w,杭州-萧山区,应届,房地产项目招投标,2人,昨天发布,保亿置业,私营·民营企业,500-999人,房产开发
IT支持,年薪7-11w,上海-徐汇区,应届,IT支持,3人,昨天发布,爱派克斯,外商独资·外企办事处,500-999人,交通/物流/运输
链家管培生/销售精英/底薪8000/可包住,年薪10-16w,深圳-南山区,应届,房地产销售人员,不限,昨天发布,贝壳找房(深圳)科技有限公司,私营·民营企业,10000人以上,房地产开发/建筑/建材/工程
技术支持工程师,年薪5-7w,武汉,应届,IT支持,5人,昨天发布,武汉天恒信息技术有限公司,私营·民营企业,1000-2000人,计算机软件
用户研究-2021届校招,年薪10-13w,广州,应届,用户研究员,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
有机合成研究员,年薪5-10w,成都-高新区,应届,药品研发,2人,昨天发布,成都施贝康生物医药科技有限公司,私营·民营企业,50-99人,药物研发
芯片设计工程师,年薪10-18w,成都,应届,集成电路IC设计/应用工程师,10人,昨天发布,网迅科技,其他,100-499人,电子技术/半导体/集成电路
客户经理,年薪11-12w,郑州,应届,客户经理/主管,30人,昨天发布,河南校信通教育科技有限公司,私营·民营企业,100-499人,互联网/移动互联网/电子商务
项目助理,年薪7-8w,东莞,应届,项目专员/助理,3人,昨天发布,东莞兆华声学科技有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
房地产销售经理/主管,4000元/月,大连-甘井子区,实习5天/周,房地产销售经理/主管,3人,昨天发布,大连链家房地产经纪有限公司欧尚店,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
市场助理,180元/日,上海,实习3天/周,市场专员/助理,1人,昨天发布,维加星信息科技(上海)有限公司,外商独资·外企办事处,1-49人,计算机软件
系统应用工程师,年薪7-8w,泉州-南安,应届,系统工程师,5人,昨天发布,厦门科牧智能技术有限公司,私营·民营企业,1000-2000人,机械制造/机电/重工
